Probe.ID	module
A_23_P127394	2
A_23_P127533	1
A_23_P127557	2
A_23_P127948	1
A_23_P127964	1
A_23_P128084	2
A_23_P128147	1
A_23_P128154	1
A_23_P12816	1
A_23_P128161	1
A_23_P128319	1
A_23_P128372	1
A_23_P128486	1
A_23_P128650	1
A_23_P128698	2
A_23_P12874	1
A_23_P128855	1
A_23_P128919	4
A_23_P12896	2
A_23_P12928	1
A_23_P129301	1
A_23_P129492	1
A_23_P129569	1
A_23_P129587	1
A_23_P129614	1
A_23_P12992	1
A_23_P129935	1
A_23_P129967	1
A_23_P130027	3
A_23_P130553	1
A_23_P130900	1
A_23_P130995	1
A_23_P13102	2
A_23_P131089	2
A_23_P131240	1
A_23_P131363	6
A_23_P131375	2
A_23_P131476	1
A_23_P131502	1
A_23_P131676	1
A_23_P131723	1
A_23_P131771	1
A_23_P131866	1
A_23_P131887	1
A_23_P131899	6
A_23_P131935	1
A_23_P131954	1
A_23_P132019	1
A_23_P132175	1
A_23_P132216	1
A_23_P132260	1
A_23_P132277	1
A_23_P132405	1
A_23_P132417	1
A_23_P132454	1
A_23_P132536	2
A_23_P132595	2
A_23_P132669	2
A_23_P132675	3
A_23_P132718	2
A_23_P132845	1
A_23_P132874	1
A_23_P132910	4
A_23_P132948	2
A_23_P133095	2
A_23_P133123	1
A_23_P133146	1
A_23_P133174	1
A_23_P133216	1
A_23_P133263	1
A_23_P133315	1
A_23_P133345	2
A_23_P133359	2
A_23_P133408	5
A_23_P133470	2
A_23_P133543	2
A_23_P133596	1
A_23_P13364	2
A_23_P133956	1
A_23_P134014	1
A_23_P134167	3
A_23_P134176	1
A_23_P134204	1
A_23_P134247	1
A_23_P13425	2
A_23_P134274	1
A_23_P134295	1
A_23_P134419	1
A_23_P134426	1
A_23_P134477	2
A_23_P134584	1
A_23_P134650	1
A_23_P134734	4
A_23_P134764	1
A_23_P134910	1
A_23_P13493	2
A_23_P134980	5
A_23_P134994	1
A_23_P13502	1
A_23_P135164	1
A_23_P135257	1
A_23_P135273	1
A_23_P135364	1
A_23_P135385	1
A_23_P135722	2
A_23_P135857	3
A_23_P135878	1
A_23_P13604	2
A_23_P136173	5
A_23_P136232	1
A_23_P136460	2
A_23_P13657	1
A_23_P136635	3
A_23_P136724	1
A_23_P136786	1
A_23_P136787	1
A_23_P13679	1
A_23_P136805	1
A_23_P136817	1
A_23_P136849	1
A_23_P136978	3
A_23_P137157	5
A_23_P137196	5
A_23_P137361	1
A_23_P137391	1
A_23_P137470	1
A_23_P137532	1
A_23_P137578	1
A_23_P137665	5
A_23_P137705	1
A_23_P137731	1
A_23_P137806	2
A_23_P137830	1
A_23_P137896	1
A_23_P137984	1
A_23_P138099	1
A_23_P138271	1
A_23_P138308	6
A_23_P138376	1
A_23_P138465	1
A_23_P138507	1
A_23_P13852	1
A_23_P138665	3
A_23_P138686	2
A_23_P138706	2
A_23_P138796	1
A_23_P13899	1
A_23_P139895	1
A_23_P139912	6
A_23_P139919	5
A_23_P139965	2
A_23_P140029	2
A_23_P140069	2
A_23_P140256	1
A_23_P14026	5
A_23_P140316	1
A_23_P140373	5
A_23_P140434	4
A_23_P14062	1
A_23_P140654	2
A_23_P140698	2
A_23_P140705	1
A_23_P14072	3
A_23_P140738	7
A_23_P140748	1
A_23_P140760	1
A_23_P140848	1
A_23_P14105	2
A_23_P141146	1
A_23_P141208	4
A_23_P141345	1
A_23_P141346	1
A_23_P141389	1
A_23_P141405	1
A_23_P141434	1
A_23_P141447	1
A_23_P141688	7
A_23_P141764	1
A_23_P141893	1
A_23_P141894	1
A_23_P141946	2
A_23_P141965	1
A_23_P141974	5
A_23_P142075	5
A_23_P142174	3
A_23_P142294	6
A_23_P142380	1
A_23_P142389	1
A_23_P142631	3
A_23_P142796	2
A_23_P142878	2
A_23_P143029	1
A_23_P143120	1
A_23_P143190	1
A_23_P143331	1
A_23_P143474	6
A_23_P143514	2
A_23_P143662	1
A_23_P143692	1
A_23_P143748	1
A_23_P143885	3
A_23_P143916	1
A_23_P143964	2
A_23_P143994	1
A_23_P144071	1
A_23_P144151	1
A_23_P144348	2
A_23_P144384	3
A_23_P144417	1
A_23_P144476	2
A_23_P144549	7
A_23_P144578	2
A_23_P14458	1
A_23_P144639	2
A_23_P144677	2
A_23_P144697	1
A_23_P144726	1
A_23_P144778	2
A_23_P144807	2
A_23_P144866	1
A_23_P144872	1
A_23_P145	3
A_23_P145074	2
A_23_P14508	3
A_23_P145197	1
A_23_P145244	2
A_23_P145376	1
A_23_P145485	1
A_23_P145507	2
A_23_P145863	1
A_23_P145889	2
A_23_P145904	1
A_23_P145984	4
A_23_P146058	1
A_23_P146077	2
A_23_P146134	2
A_23_P146325	0
A_23_P146347	1
A_23_P146551	1
A_23_P146584	1
A_23_P146736	3
A_23_P146783	1
A_23_P146849	1
A_23_P147098	1
A_23_P14716	1
A_23_P147238	1
A_23_P147245	3
A_23_P147388	4
A_23_P147439	1
A_23_P147450	1
A_23_P14754	1
A_23_P147578	1
A_23_P147641	2
A_23_P147711	2
A_23_P147805	1
A_23_P147826	1
A_23_P147900	1
A_23_P147918	6
A_23_P148015	2
A_23_P148047	2
A_23_P148249	2
A_23_P148297	2
A_23_P148308	3
A_23_P148372	3
A_23_P148475	1
A_23_P148484	1
A_23_P148556	1
A_23_P148609	1
A_23_P148798	1
A_23_P148879	2
A_23_P148919	3
A_23_P148949	1
A_23_P148990	2
A_23_P149042	1
A_23_P149064	3
A_23_P149111	1
A_23_P149200	1
A_23_P149259	1
A_23_P149427	4
A_23_P149664	1
A_23_P149668	1
A_23_P149775	2
A_23_P149812	2
A_23_P150009	3
A_23_P150267	2
A_23_P150379	6
A_23_P150407	3
A_23_P150547	1
A_23_P150667	1
A_23_P150718	5
A_23_P150789	4
A_23_P150876	3
A_23_P150935	1
A_23_P151150	1
A_23_P15123	1
A_23_P151297	2
A_23_P151368	2
A_23_P151376	1
A_23_P151405	1
A_23_P15146	5
A_23_P151529	2
A_23_P151565	2
A_23_P151570	2
A_23_P151805	2
A_23_P151856	1
A_23_P151970	1
A_23_P151975	1
A_23_P152066	2
A_23_P152136	1
A_23_P152218	1
A_23_P152272	1
A_23_P1523	6
A_23_P152356	1
A_23_P152559	2
A_23_P152753	1
A_23_P152768	1
A_23_P152804	1
A_23_P152906	1
A_23_P153098	2
A_23_P153120	1
A_23_P15326	1
A_23_P153266	1
A_23_P153320	5
A_23_P153651	5
A_23_P153676	4
A_23_P153783	1
A_23_P15394	5
A_23_P15402	2
A_23_P154294	1
A_23_P154338	2
A_23_P154358	6
A_23_P154447	1
A_23_P154488	1
A_23_P15450	2
A_23_P154500	1
A_23_P154585	2
A_23_P154627	4
A_23_P154667	1
A_23_P154675	1
A_23_P154786	2
A_23_P154929	1
A_23_P15493	1
A_23_P154986	1
A_23_P155027	1
A_23_P155147	1
A_23_P155257	2
A_23_P155288	1
A_23_P155316	1
A_23_P155360	3
A_23_P155376	2
A_23_P155417	3
A_23_P155425	1
A_23_P155477	2
A_23_P155624	1
A_23_P155660	1
A_23_P155815	1
A_23_P155857	4
A_23_P155989	1
A_23_P156101	1
A_23_P156289	1
A_23_P156310	1
A_23_P15647	1
A_23_P156667	1
A_23_P156708	2
A_23_P156732	2
A_23_P156788	5
A_23_P156890	2
A_23_P156907	2
A_23_P156953	1
A_23_P156970	1
A_23_P157072	1
A_23_P157128	5
A_23_P157136	3
A_23_P157495	2
A_23_P157593	1
A_23_P157669	1
A_23_P157726	2
A_23_P157793	1
A_23_P157895	3
A_23_P158096	7
A_23_P158190	3
A_23_P158231	1
A_23_P158239	1
A_23_P15829	1
A_23_P158330	1
A_23_P15844	1
A_23_P158485	2
A_23_P158596	1
A_23_P158794	1
A_23_P159012	2
A_23_P159027	2
A_23_P159039	1
A_23_P159053	2
A_23_P159211	4
A_23_P159325	1
A_23_P159355	1
A_23_P159390	1
A_23_P159406	1
A_23_P159775	1
A_23_P159877	1
A_23_P159907	1
A_23_P159920	1
A_23_P159937	1
A_23_P159986	7
A_23_P160025	1
A_23_P160154	3
A_23_P160200	1
A_23_P160214	3
A_23_P160354	2
A_23_P160449	1
A_23_P160503	1
A_23_P160537	1
A_23_P160582	2
A_23_P160618	5
A_23_P160631	1
A_23_P160886	2
A_23_P160934	1
A_23_P16096	1
A_23_P161022	1
A_23_P161041	1
A_23_P161070	2
A_23_P161197	1
A_23_P161324	2
A_23_P161428	1
A_23_P161439	2
A_23_P161474	1
A_23_P161727	2
A_23_P161918	1
A_23_P162087	4
A_23_P162336	1
A_23_P162355	1
A_23_P162476	1
A_23_P162486	1
A_23_P162540	1
A_23_P162589	1
A_23_P162719	1
A_23_P162746	2
A_23_P163006	1
A_23_P163099	1
A_23_P163481	1
A_23_P163630	5
A_23_P163732	1
A_23_P1638	2
A_23_P163992	1
A_23_P164057	2
A_23_P164141	1
A_23_P164179	2
A_23_P164196	1
A_23_P164210	1
A_23_P164284	3
A_23_P164341	4
A_23_P164421	2
A_23_P164427	1
A_23_P164436	2
A_23_P164451	2
A_23_P164528	2
A_23_P16469	5
A_23_P164702	1
A_23_P164706	2
A_23_P164826	1
A_23_P165061	2
A_23_P16516	1
A_23_P165301	1
A_23_P165390	1
A_23_P165457	1
A_23_P165608	1
A_23_P165624	5
A_23_P165676	1
A_23_P165691	1
A_23_P165722	6
A_23_P165879	1
A_23_P165937	1
A_23_P166023	1
A_23_P16607	2
A_23_P166109	2
A_23_P166269	3
A_23_P166333	1
A_23_P166360	1
A_23_P166508	2
A_23_P166566	2
A_23_P166640	2
A_23_P16671	1
A_23_P166775	4
A_23_P166779	2
A_23_P166807	2
A_23_P16683	1
A_23_P166899	1
A_23_P167237	2
A_23_P167256	2
A_23_P167263	2
A_23_P167818	2
A_23_P168259	1
A_23_P168288	1
A_23_P168306	1
A_23_P168479	1
A_23_P168531	1
A_23_P168532	1
A_23_P168551	1
A_23_P168629	1
A_23_P168747	1
A_23_P168788	1
A_23_P168847	2
A_23_P168868	1
A_23_P168909	2
A_23_P169030	1
A_23_P169097	1
A_23_P169117	2
A_23_P169249	5
A_23_P169331	1
A_23_P16944	1
A_23_P169494	1
A_23_P169529	1
A_23_P169629	1
A_23_P169819	2
A_23_P170058	1
A_23_P170233	1
A_23_P170331	1
A_23_P170491	1
A_23_P170667	1
A_23_P170719	1
A_23_P170774	1
A_23_P170908	2
A_23_P170986	1
A_23_P171074	2
A_23_P171143	2
A_23_P171249	2
A_23_P17144	1
A_23_P17163	1
A_23_P17204	1
A_23_P17307	1
A_23_P17345	1
A_23_P17393	1
A_23_P17444	1
A_23_P17706	1
A_23_P17739	1
A_23_P17837	1
A_23_P17870	1
A_23_P17914	1
A_23_P18082	2
A_23_P18102	1
A_23_P18186	1
A_23_P18196	1
A_23_P18266	3
A_23_P18267	3
A_23_P18276	2
A_23_P18292	2
A_23_P18294	2
A_23_P18325	1
A_23_P18413	1
A_23_P18422	1
A_23_P18447	2
A_23_P18479	1
A_23_P18579	1
A_23_P18739	3
A_23_P18751	1
A_23_P18824	1
A_23_P18887	6
A_23_P19182	2
A_23_P19219	1
A_23_P19352	1
A_23_P19543	1
A_23_P19673	1
A_23_P19712	1
A_23_P19723	2
A_23_P1998	2
A_23_P19987	1
A_23_P20002	2
A_23_P200043	2
A_23_P200126	1
A_23_P200160	2
A_23_P20022	1
A_23_P200222	1
A_23_P200239	3
A_23_P200267	1
A_23_P200310	1
A_23_P200439	1
A_23_P200493	1
A_23_P200507	1
A_23_P200741	2
A_23_P200866	1
A_23_P200976	2
A_23_P201035	1
A_23_P201319	3
A_23_P201386	4
A_23_P201445	1
A_23_P201483	1
A_23_P201508	1
A_23_P201596	1
A_23_P201636	1
A_23_P201647	1
A_23_P201672	1
A_23_P201758	1
A_23_P201790	2
A_23_P201808	2
A_23_P201887	1
A_23_P20196	1
A_23_P201988	1
A_23_P201998	2
A_23_P202080	1
A_23_P202104	5
A_23_P202170	2
A_23_P202199	6
A_23_P202316	1
A_23_P202327	7
A_23_P202334	2
A_23_P202458	2
A_23_P20248	1
A_23_P202720	3
A_23_P20285	3
A_23_P202964	1
A_23_P203419	1
A_23_P203475	2
A_23_P203702	2
A_23_P203900	1
A_23_P20392	4
A_23_P203920	2
A_23_P203947	1
A_23_P203949	1
A_23_P203957	1
A_23_P203983	5
A_23_P204170	1
A_23_P204286	2
A_23_P204364	1
A_23_P204436	1
A_23_P204484	1
A_23_P204550	1
A_23_P204579	1
A_23_P20463	1
A_23_P204630	2
A_23_P20480	1
A_23_P204885	2
A_23_P204929	2
A_23_P20494	1
A_23_P204941	1
A_23_P20502	1
A_23_P205098	2
A_23_P205159	3
A_23_P205177	2
A_23_P205188	4
A_23_P205200	2
A_23_P205228	4
A_23_P205265	1
A_23_P205336	6
A_23_P205367	1
A_23_P205449	1
A_23_P205549	2
A_23_P205611	1
A_23_P205713	4
A_23_P205768	1
A_23_P205778	1
A_23_P205789	1
A_23_P205841	2
A_23_P205900	2
A_23_P205959	3
A_23_P206059	1
A_23_P206092	2
A_23_P20615	1
A_23_P206228	2
A_23_P206272	1
A_23_P206441	1
A_23_P20660	1
A_23_P206612	1
A_23_P206819	1
A_23_P206826	1
A_23_P207037	5
A_23_P207049	1
A_23_P207280	2
A_23_P20732	1
A_23_P207399	2
A_23_P207400	1
A_23_P207476	1
A_23_P207520	7
A_23_P207600	1
A_23_P207742	2
A_23_P207879	1
A_23_P207957	2
A_23_P207999	1
A_23_P20804	1
A_23_P208119	1
A_23_P208126	6
A_23_P208208	2
A_23_P208259	2
A_23_P208369	1
A_23_P208389	2
A_23_P20852	4
A_23_P20876	1
A_23_P208779	3
A_23_P208880	1
A_23_P208915	1
A_23_P208991	2
A_23_P209183	1
A_23_P209195	0
A_23_P209200	1
A_23_P209288	2
A_23_P20932	3
A_23_P209320	2
A_23_P209337	1
A_23_P209356	1
A_23_P209426	2
A_23_P209564	2
A_23_P209778	1
A_23_P20980	1
A_23_P209879	2
A_23_P209962	1
A_23_P209978	1
A_23_P209995	1
A_23_P210091	1
A_23_P210323	2
A_23_P21033	1
A_23_P210482	1
A_23_P210581	1
A_23_P210658	1
A_23_P210690	1
A_23_P210726	1
A_23_P210829	2
A_23_P210853	1
A_23_P211047	1
A_23_P211080	1
A_23_P211110	7
A_23_P211167	2
A_23_P211207	2
A_23_P211326	1
A_23_P211468	2
A_23_P211488	1
A_23_P211627	1
A_23_P211631	2
A_23_P211659	1
A_23_P211727	1
A_23_P211748	1
A_23_P211806	4
A_23_P211909	3
A_23_P211926	1
A_23_P211957	2
A_23_P212034	1
A_23_P212042	1
A_23_P212159	1
A_23_P212196	2
A_23_P212310	3
A_23_P212339	2
A_23_P212522	1
A_23_P212552	1
A_23_P212554	1
A_23_P212617	1
A_23_P212639	1
A_23_P212649	2
A_23_P212665	1
A_23_P212688	2
A_23_P212706	1
A_23_P212825	1
A_23_P212844	1
A_23_P213247	2
A_23_P213415	2
A_23_P213458	3
A_23_P213471	1
A_23_P213518	2
A_23_P213638	1
A_23_P213699	2
A_23_P213728	2
A_23_P213766	1
A_23_P214059	2
A_23_P214091	1
A_23_P214139	2
A_23_P214144	7
A_23_P214176	6
A_23_P214222	7
A_23_P214330	6
A_23_P214425	1
A_23_P214565	0
A_23_P21485	2
A_23_P214876	1
A_23_P214908	1
A_23_P214969	2
A_23_P215037	1
A_23_P215060	2
A_23_P215096	1
A_23_P215132	1
A_23_P215208	1
A_23_P215265	1
A_23_P215419	4
A_23_P215431	1
A_23_P215435	1
A_23_P215517	1
A_23_P215599	1
A_23_P21560	5
A_23_P215634	1
